Feature,Importance
18 Years & Above - Below 30 Years - Male - (Col. 6),0.21937806719048816
30 Years & above - Below 45 Years - Male - (Col. 9),0.17357706124571537
60 Years & Above - Total - (Col. 17),0.15707420429608035
45 Years & above - Below 60 Years - Female - (Col. 13),0.1397686420578126
18 Years & Above - Below 30 Years - Female - (Col. 7),0.11766833476759779
30 Years & above - Below 45 Years - Female - (Col. 10),0.11386366326772342
60 Years & Above - Female - (Col. 16),0.07867002717458228
